t,raw_score,score,rec_err,lat_err,edge_err,err_phys,err_cyber,err_event,top_nodes,y_true,switching,physical_block_context,switch_event,attack_type,affected_nodes,rec_z,phys_z,cyber_z,edge_z,lat_z,threshold,raw_alert,high_score,strong_cyber,strong_physical,cyber_confirmed,physical_confirmed_raw,physical_confirmed_persistent,confirmed_alert_before_persistence,physical_confirmed,alert,threshold_method,context_aware_alerting,cyber_confirm_z,phys_confirm_z,phys_min_rec_z,phys_persistence_k,physical_confirmation_enabled,persistence_k
0,0.469951868057251,0.0,0.469951868057251,0.06572741270065308,6235.4990234375,0.40599068999290466,0.8638204336166382,0.002020682208240032,"[19, 29, 17, 4, 30, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.5432762493618761,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
1,0.4957703948020935,0.0,0.4957703948020935,0.1522415280342102,6220.5498046875,0.5218966007232666,0.677657425403595,0.001365034026093781,"[19, 30, 37, 38, 24, 11]",0,0,0,0,none,[],0.0,0.0,0.0,1.3479543821239204,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
2,0.529259979724884,1.1343354557338734,0.529259979724884,0.1123405173420906,6184.55078125,0.40120577812194824,1.1132550239562988,0.0015412637731060386,"[38, 19, 11, 35, 1, 36]",0,0,0,0,none,[],0.0,0.0,1.6204792224769622,0.8776022791716888,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
3,0.5277160406112671,0.0,0.5277160406112671,0.13429775834083557,6247.79736328125,0.49088340997695923,0.8827700614929199,0.0017709991661831737,"[24, 29, 16, 30, 19, 11]",0,0,0,0,none,[],0.0,0.0,0.0,1.703962552932636,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
4,0.5662123560905457,0.15170704245931688,0.5662123560905457,0.15347354114055634,6236.49658203125,0.5345688462257385,0.9273463487625122,0.002161814598366618,"[19, 30, 13, 31, 37, 8]",0,0,0,0,none,[],0.0,0.0,0.21672434637045268,1.5563100413257884,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
5,0.5411691069602966,0.0,0.5411691069602966,0.15372604131698608,6215.955078125,0.5265476107597351,0.8474313616752625,0.0017521679401397705,"[16, 19, 38, 34, 28, 24]",0,0,0,0,none,[],0.0,0.0,0.0,1.287921106362581,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
6,0.47800055146217346,0.0,0.47800055146217346,0.15365631878376007,6177.60791015625,0.5312145948410034,0.5831403732299805,0.0016509598353877664,"[19, 4, 36, 30, 38, 34]",0,0,0,0,none,[],0.0,0.0,0.0,0.7868888734277479,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
7,0.4799063801765442,0.0,0.4799063801765442,0.13957256078720093,6183.33447265625,0.4651030898094177,0.7558218836784363,0.002091984963044524,"[19, 30, 29, 38, 22, 16]",0,0,0,0,none,[],0.0,0.0,0.0,0.8617103673840697,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
8,0.4652599096298218,0.0,0.4652599096298218,0.12932485342025757,6209.07568359375,0.4520628750324249,0.729617714881897,0.0025294495280832052,"[11, 19, 8, 30, 29, 34]",0,0,0,0,none,[],0.0,0.0,0.0,1.1980370657460553,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
9,0.5464710593223572,0.6302862679166138,0.5464710593223572,0.124616339802742,6141.6220703125,0.46680259704589844,1.01789128780365,0.001972575904801488,"[30, 19, 37, 35, 14, 29]",0,0,0,0,none,[],0.0,0.0,0.9004089541665912,0.31670902323274874,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
10,0.5448397994041443,0.0,0.5448397994041443,0.12824034690856934,6146.69775390625,0.5245133638381958,0.8670926094055176,0.001966488314792514,"[19, 30, 11, 34, 17, 2]",0,0,0,0,none,[],0.0,0.0,0.0,0.3830263347671931,0.0,1.6816989055870812,0,0,0,0,0,0,0,0,0,0,frozen_ewma_sigma,1,6.0,10.0,1.5,3,1,1
