t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
0,0.0,1.6816989055870812,0,0,0,0.40599068999290466,0.8638204336166382,0.002020682208240032,none
1,0.0,1.6816989055870812,0,0,0,0.5218966007232666,0.677657425403595,0.001365034026093781,none
2,1.1343354557338734,1.6816989055870812,0,0,0,0.40120577812194824,1.1132550239562988,0.0015412637731060386,none
3,0.0,1.6816989055870812,0,0,0,0.49088340997695923,0.8827700614929199,0.0017709991661831737,none
4,0.15170704245931688,1.6816989055870812,0,0,0,0.5345688462257385,0.9273463487625122,0.002161814598366618,none
5,0.0,1.6816989055870812,0,0,0,0.5265476107597351,0.8474313616752625,0.0017521679401397705,none
6,0.0,1.6816989055870812,0,0,0,0.5312145948410034,0.5831403732299805,0.0016509598353877664,none
7,0.0,1.6816989055870812,0,0,0,0.4651030898094177,0.7558218836784363,0.002091984963044524,none
8,0.0,1.6816989055870812,0,0,0,0.4520628750324249,0.729617714881897,0.0025294495280832052,none
9,0.6302862679166138,1.6816989055870812,0,0,0,0.46680259704589844,1.01789128780365,0.001972575904801488,none
10,0.0,1.6816989055870812,0,0,0,0.5245133638381958,0.8670926094055176,0.001966488314792514,none
11,0.5410585070505659,1.6816989055870812,0,0,0,0.7246155738830566,0.9958584308624268,0.0014462483813986182,none
12,0.0,1.6816989055870812,0,0,0,0.6400421261787415,0.826408863067627,0.0021288469433784485,none
13,0.8957071214662199,1.6816989055870812,0,0,0,0.6784895062446594,1.0655241012573242,0.0026071995962411165,none
14,0.0,1.6816989055870812,0,0,0,0.5147313475608826,0.8404359221458435,0.0020618487615138292,none
15,1.104869488592304,1.6816989055870812,0,0,0,0.5599533319473267,1.1076802015304565,0.0017644905019551516,none
16,0.0,1.6816989055870812,0,0,0,0.5183471441268921,0.8326762318611145,0.002306708600372076,none
17,0.0,1.6816989055870812,0,0,0,0.4689844250679016,0.840949535369873,0.0019815079867839813,none
18,0.8560778730854682,1.6816989055870812,0,0,0,0.7288022041320801,1.0515750646591187,0.0016369693912565708,none
19,0.27887664752627866,1.6816989055870812,0,0,0,0.9105300307273865,0.8139394521713257,0.0019019081955775619,none
20,0.013656481809609232,1.6816989055870812,0,0,0,0.6041651964187622,0.9012278318405151,0.0025016949512064457,none
21,1.3295615561650964,1.6816989055870812,0,0,0,0.6789780855178833,1.1431210041046143,0.0024534601252526045,none
22,0.8802709587220504,1.6816989055870812,0,0,0,0.5722798109054565,1.0651872158050537,0.0021834869403392076,none
23,0.0,1.6816989055870812,0,0,0,0.5950167179107666,0.7438097596168518,0.0022049422841519117,none
24,0.3707721350102339,1.6816989055870812,0,0,0,0.7833796739578247,0.9484280347824097,0.001986572053283453,none
25,0.0,1.6816989055870812,0,0,0,0.6928803324699402,0.7752543091773987,0.0019776273984462023,none
26,0.015003171352822942,1.6816989055870812,0,0,0,0.7446221709251404,0.7917370796203613,0.0018320101080462337,none
27,0.3074365533080656,1.6816989055870812,0,0,0,0.6601229310035706,0.9568096399307251,0.002153692999854684,none
28,0.29335473971515325,1.6816989055870812,0,0,0,0.9101321697235107,0.8640844225883484,0.0021667727269232273,none
29,0.3806715192847719,1.6816989055870812,0,0,0,0.8080403208732605,0.9428411722183228,0.0022675897926092148,none
30,0.040581816323826056,1.6816989055870812,0,0,0,0.7535444498062134,0.89082932472229,0.001835664501413703,none
31,0.052608135743116756,1.6816989055870812,0,0,0,0.7736440896987915,0.8194505572319031,0.0021549873054027557,none
32,0.022820545710063034,1.6816989055870812,0,0,0,0.7531890273094177,0.7044664621353149,0.0021337191574275494,none
33,0.05760749372007718,1.6816989055870812,0,0,0,0.5908658504486084,0.9095431566238403,0.0026076792273670435,none
34,0.4247094816236014,1.6816989055870812,0,0,0,0.8154381513595581,0.948516845703125,0.002330936025828123,none
