t,score,threshold,err_phys,err_cyber,err_event,phys_z,cyber_z,rec_z,strong_cyber,strong_physical,cyber_confirmed,physical_confirmed_raw,physical_confirmed_persistent,physical_block_context,alert,switching,switch_event
0,0.0,1.6817,0.406,0.8638,0.002,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,0.0,1.6817,0.5219,0.6777,0.0014,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2,1.1343,1.6817,0.4012,1.1133,0.0015,0.0,1.6205,0.0,0,0,0,0,0,0,0,0,0
3,0.0,1.6817,0.4909,0.8828,0.0018,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,0.1517,1.6817,0.5346,0.9273,0.0022,0.0,0.2167,0.0,0,0,0,0,0,0,0,0,0
5,0.0,1.6817,0.5265,0.8474,0.0018,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
6,0.0,1.6817,0.5312,0.5831,0.0017,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
7,0.0,1.6817,0.4651,0.7558,0.0021,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
8,0.0,1.6817,0.4521,0.7296,0.0025,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9,0.6303,1.6817,0.4668,1.0179,0.002,0.0,0.9004,0.0,0,0,0,0,0,0,0,0,0
10,0.0,1.6817,0.5245,0.8671,0.002,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
11,0.5411,1.6817,0.7246,0.9959,0.0014,0.0,0.734,0.1815,0,0,0,0,0,0,0,0,0
12,0.0,1.6817,0.64,0.8264,0.0021,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
13,0.8957,1.6817,0.6785,1.0655,0.0026,0.0,1.2601,0.091,0,0,0,0,0,0,0,0,0
14,0.0,1.6817,0.5147,0.8404,0.0021,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
15,1.1049,1.6817,0.56,1.1077,0.0018,0.0,1.5784,0.0,0,0,0,0,0,0,0,0,0
16,0.0,1.6817,0.5183,0.8327,0.0023,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
17,0.0,1.6817,0.469,0.8409,0.002,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
18,0.8561,1.6817,0.7288,1.0516,0.0016,0.0038,1.1547,0.3146,0,0,0,0,0,0,0,0,0
19,0.2789,1.6817,0.9105,0.8139,0.0019,1.1093,0.0,0.7499,0,0,0,0,0,0,0,0,0
20,0.0137,1.6817,0.6042,0.9012,0.0025,0.0,0.0195,0.0,0,0,0,0,0,0,0,0,0
21,1.3296,1.6817,0.679,1.1431,0.0025,0.0,1.846,0.2491,0,0,0,0,0,0,0,0,0
22,0.8803,1.6817,0.5723,1.0652,0.0022,0.0,1.2575,0.0,0,0,0,0,0,0,0,0,0
23,0.0,1.6817,0.595,0.7438,0.0022,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
24,0.3708,1.6817,0.7834,0.9484,0.002,0.3358,0.3759,0.3818,0,0,0,0,0,0,0,0,0
